GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
carrito,com.ejercicio,Producto,6,15,0,0,2,6,2,2,2,2
carrito,com.ejercicio,CarritoService,0,53,0,4,0,14,0,7,0,5
